device,n,microseconds,GB_per_s
cpu,1,0.625,0.019
cpu,4,0.542,0.089
cpu,16,0.687,0.279
cpu,64,0.542,1.417
cpu,256,0.542,5.669
cpu,1024,0.583,21.077
cpu,4096,0.792,62.099
cpu,16384,1.833,107.256
cpu,65536,45.792,17.174
cpu,262144,43.605,72.142
cpu,1048576,56.854,221.320
cpu,4194304,139.479,360.853
cpu,16777216,674.187,298.621
cpu,67108864,2593.646,310.492
cpu,268435456,10240.583,314.555
mps,1,172.542,0.000
mps,4,140.083,0.000
mps,16,155.584,0.001
mps,64,146.250,0.005
mps,256,135.791,0.023
mps,1024,141.709,0.087
mps,4096,134.770,0.365
mps,16384,135.333,1.453
mps,65536,112.729,6.976
mps,262144,102.521,30.684
mps,1048576,117.938,106.691
mps,4194304,192.228,261.832
mps,16777216,536.188,375.478
mps,67108864,1925.521,418.228
mps,268435456,7192.125,447.882
