threads,operation,ms,speedup,GB_per_s
1,add,7.187,1.00,112.05
1,sin,68.675,1.00,7.82
2,add,4.144,1.73,194.32
2,sin,34.315,2.00,15.65
4,add,2.853,2.52,282.30
4,sin,17.050,4.03,31.49
6,add,2.743,2.62,293.62
6,sin,11.631,5.90,46.16
8,add,2.751,2.61,292.77
8,sin,8.697,7.90,61.73
10,add,2.745,2.62,293.38
10,sin,7.307,9.40,73.47
12,add,2.890,2.49,278.65
12,sin,7.292,9.42,73.63
14,add,2.854,2.52,282.19
14,sin,9.185,7.48,58.45
16,add,2.707,2.65,297.44
16,sin,8.432,8.14,63.67
1,matmul,5.644,1.00,3.04
2,matmul,5.661,1.00,3.03
4,matmul,5.651,1.00,3.04
6,matmul,5.703,0.99,3.01
8,matmul,5.854,0.96,2.93
10,matmul,5.755,0.98,2.99
12,matmul,5.782,0.98,2.97
14,matmul,5.825,0.97,2.95
16,matmul,5.722,0.99,3.00
