iteration,prox_total_sec,denoise_total_sec,makespan_sec,iteration_total_sec,consensus_change_pct,denoise_mean_iterations
1,267.9327161809779,238.43379452897352,133.44840474697412,135.64468550498714,46.66095329631974,15.0
2,331.8083136790374,62.783708289964125,100.07205629898817,102.46960395900533,9.622775780012267,15.0
3,509.4269969869347,60.47036113202921,143.888849785988,146.14863263998996,7.804700566744524,15.0
4,536.5120394450205,58.72544218599796,150.58640499800094,152.7726825150021,5.165085299762227,15.0
5,532.1320403088466,59.33424460000242,149.76316769002005,151.93099926199648,3.4064353317261347,15.0
6,532.1682977010205,59.362703059014166,149.5519628499751,151.84285026899306,2.360362635704025,15.0
7,530.2676737069269,59.23779784297221,148.8692323419964,151.1697672480077,1.6608842171086209,15.0
8,530.1465789411159,59.588910360005684,148.95163947402034,151.18196677800734,1.2975410884167575,15.0
9,544.818578495062,60.107634023966966,152.88256104500033,155.16128808402573,1.119699158138122,15.0
10,531.3492810789903,59.10712618700927,149.30615586799104,151.61156016399036,0.9846752680976132,15.0
