iteration,prox_total_sec,denoise_total_sec,makespan_sec,iteration_total_sec,consensus_change_pct,denoise_mean_iterations
1,426.43454887505504,263.3689133549633,296.43073895201087,318.2319627070101,46.66362179895548,15.0
2,375.0779213799542,217.8651904770377,281.65573753300123,303.9423346169933,9.538661201144436,15.0
3,373.2690462469618,194.42237924798974,280.2664497890073,302.31771273999766,7.518050037548198,15.0
4,373.9910398880311,199.24717588599015,281.35899401200004,302.68375393300084,5.110967304028341,15.0
5,372.3473417220375,211.5266826430452,279.47524503601016,301.3972770580003,3.3585288687023582,15.0
6,375.63095751097717,214.7542749440181,281.2473871920083,303.29730240799836,2.3299242175985126,15.0
7,374.7877559959452,204.7256073859171,280.69257389100676,302.13687931701133,1.6486159499506512,15.0
8,375.0482026769896,207.78128265903797,280.28892093600007,301.8671903159993,1.2394291118824097,15.0
9,371.9693245920789,204.67851938601234,277.24274613300804,298.78838392399484,1.0336766765398222,15.0
10,368.1428654109477,179.24072122194048,276.45370487899345,298.01884739199886,0.8995255530750734,15.0
