iteration,prox_total_sec,denoise_total_sec,makespan_sec,iteration_total_sec,consensus_change_pct,denoise_mean_iterations
1,402.60182226599136,301.7502003460104,288.9607166420028,309.8659346670029,46.66511148633744,15.0
2,359.61123042991676,190.36294192500645,268.29729750100523,289.7182127910055,9.537678496256401,15.0
3,362.2303082710423,184.4677937280212,268.58555985700514,290.41761848700116,7.517878337414528,15.0
4,359.65151424895157,186.93853826099075,267.2911529990088,288.8822573159996,5.108424033723057,15.0
5,362.47006340701773,184.8919185650011,269.0345444550039,290.6930395990057,3.3579472682436897,15.0
6,362.50004821705807,187.9296441660117,268.3030867570051,289.47621398400224,2.3308817742386765,15.0
7,363.42013025497727,176.4371687130042,267.29868135899596,288.5119601780025,1.6494897013852323,15.0
8,367.61298839206574,191.26679632402374,271.84249492500385,292.87232937899535,1.2397298471138745,15.0
9,362.9839798879839,189.51374271100212,270.5634304799896,291.80342962600116,1.0338175711874575,15.0
10,368.689565763023,188.41239621501882,270.49882138700923,291.46240690301056,0.8995708558177853,15.0
