iteration,prox_total_sec,denoise_total_sec,makespan_sec,iteration_total_sec,consensus_change_pct,denoise_mean_iterations
1,429.0377254710111,264.3563533080014,300.31247826899926,321.7944219130004,46.66556921960222,15.0
2,540.5198308069957,215.17908029700266,322.8004059300001,345.5508059120002,9.623460655433346,15.0
3,703.3407531419907,207.4031955040009,365.44661194700166,387.90135242999895,7.807360494147425,15.0
4,792.2495014940032,200.5180797419962,384.6305787450001,407.0419412009978,5.163729525436318,15.0
5,782.7336693299803,193.7860775849913,383.06854470199687,405.8371435049994,3.4072123595780752,15.0
6,785.1380303110127,182.17016067900113,386.17334119800216,408.38425699300205,2.360907469285114,15.0
7,786.8790364659944,207.84930956999233,383.71235388400237,405.57724308899924,1.6613180194928288,15.0
8,783.5428630110146,211.08159507000528,381.63616795099733,403.36199502599993,1.2966185067451186,15.0
9,787.068931428963,205.89160273901507,383.7680707690015,405.5095578879991,1.1197579827315003,15.0
10,780.1981853329853,175.97070247000374,381.35759734900057,403.44112429099914,0.9852270565471567,15.0
