iteration,prox_total_sec,denoise_total_sec,makespan_sec,iteration_total_sec,consensus_change_pct,denoise_mean_iterations
1,419.6273583019938,268.77260207603103,299.01806826601387,319.8860222610092,46.66767704343615,15.0
2,546.473708236037,209.048258594019,326.6838535519928,348.93645910300256,9.625342450836119,15.0
3,698.5169604780967,204.31370826100465,362.712816476007,384.90426550401025,7.808413000483062,15.0
4,789.4271398430574,195.91326152801048,384.8598910080036,406.80024667699763,5.163942457240196,15.0
5,793.0698308519495,200.1944380049681,385.8159342739964,407.671847620004,3.4066179332545707,15.0
6,789.8965073510481,187.2457234380563,384.4980013549939,405.31059901599656,2.3589402144385443,15.0
7,786.9510124599328,200.58807121703285,383.4839630380011,405.1121763620031,1.660659804248796,15.0
8,788.8277001959796,199.00924778501212,384.2826858670014,405.0169929160038,1.296565747877015,15.0
9,794.1628179018444,193.60515808402852,385.7658179979917,407.437019140998,1.1195112939448832,15.0
10,792.4898011700134,198.11143425000773,387.187840478,407.86946701699344,0.9856649204618206,15.0
