iteration,prox_total_sec,denoise_total_sec,makespan_sec,iteration_total_sec,consensus_change_pct,denoise_mean_iterations
1,411.4239762580255,352.6749869250052,287.7906221720041,309.13171587200486,46.6656018866014,15.0
2,526.8723812279932,184.3543106510042,310.70410851499764,333.3349102869979,9.623680801679214,15.0
3,687.6062564759632,176.824684954001,352.5280498889915,374.30735427599575,7.804386604541219,15.0
4,771.2664147239557,165.52170105797995,370.3214458910079,391.7388862890075,5.164258730956399,15.0
5,768.8493237970542,160.93840618999093,369.9391473069991,391.35799461200077,3.4073440121610754,15.0
6,768.786829296936,163.47359064602642,367.5052323760028,389.74369833100354,2.3598056122505997,15.0
7,768.6412419140252,169.52013843905297,367.7549799749977,389.83235424599843,1.660349638697079,15.0
8,774.9442976680439,181.45011240297754,374.8755424300034,397.11780333099887,1.297090108046472,15.0
9,772.8426446328813,165.719117028013,371.62663577300555,392.63221474099555,1.1193346579762158,15.0
10,806.9077035969385,167.51807403098792,402.70242655600305,423.8885344849987,0.9858393886995557,15.0
