iteration,prox_total_sec,denoise_total_sec,makespan_sec,iteration_total_sec,consensus_change_pct,denoise_mean_iterations
1,546.38534639102,273.3071910169965,329.9980776960001,351.93127275000734,46.66484539909173,15.0
2,535.2140687730134,207.57555561700428,324.66683587299485,346.73837988299783,9.621713551214258,15.0
3,683.0822714749957,207.78445440906216,361.0208198619948,382.95588751400646,7.806614789824246,15.0
4,824.3509787629882,240.91086960704706,418.4507282679988,446.42003111699887,5.166027068931956,15.0
5,784.8669536301168,243.0066041030368,396.8232984269998,419.9824971079943,3.406157978485194,15.0
6,876.2357217940007,219.46109139001055,415.6630665779958,438.53280945400184,2.358119031451048,15.0
7,776.5846180180088,244.73968474802678,392.2050508109969,414.4092682789924,1.660812741992226,15.0
8,967.1555304130306,263.4382527099806,479.07613865500025,504.2375540829962,1.2967380410762401,15.0
9,907.4421251959429,235.90506573903258,443.99236494999786,465.53048737399513,1.1198362130412487,15.0
10,1032.1160009500018,247.76513561006868,518.1890823489957,541.0630749639968,0.9853678474753153,15.0
