iteration,prox_total_sec,denoise_total_sec,makespan_sec,iteration_total_sec,consensus_change_pct,denoise_mean_iterations
1,230.39890931305126,174.61276115594956,102.39710748298967,104.60253210699011,46.66495291688678,15.0
2,366.30810461807414,63.48363227995287,108.27201676600089,110.58297749998746,9.624098580539806,15.0
3,507.7342913419707,59.5646256810287,143.3156895580032,145.56452900200384,7.804035675560354,15.0
4,581.216358087986,60.06482665200019,162.18460582398984,164.42055833199993,5.166408874317855,15.0
5,574.3032543789741,61.33788742501929,160.30949148299987,162.510593117011,3.407586356394549,15.0
6,677.5031931861449,59.81729898302001,186.26482184200722,188.4444602020085,2.359346470240077,15.0
7,635.9416879100027,61.08332493795024,175.96385066999937,178.13898764300393,1.6610931485860607,15.0
8,621.7753356110188,60.88764948899916,171.85785350500373,174.0071230330068,1.2966920480084065,15.0
9,698.526563830892,58.72355954399973,191.20523064699955,193.2955932640034,1.1195958073670687,15.0
10,727.5084160628612,60.697146692007664,198.68830592899758,200.80820745699748,0.9852893001943295,15.0
