advance,iteration,prox_total_sec,denoise_total_sec,makespan_sec,iteration_total_sec,consensus_change_pct,denoise_mean_iterations
0.0,1,427.5,272.0,302.5,324.2,46.6658,15.0
0.0,2,388.4,213.9,290.9,314.3,9.5368,15.0
0.0,3,383.0,204.6,286.8,308.7,7.5204,15.0
0.0,4,411.7,203.5,314.5,342.7,5.1150,15.0
0.0,5,440.1,245.1,340.5,362.1,3.3596,15.0
0.0,6,449.1,256.8,352.6,380.2,2.3315,15.0
0.0,7,430.6,227.0,323.5,348.7,1.6498,15.0
0.0,8,425.3,233.2,310.9,332.8,1.2408,15.0
0.0,9,381.9,221.5,286.8,308.1,1.0344,15.0
0.0,10,381.6,205.9,284.7,306.4,0.9003,15.0
0.0,sum,4119.2,2283.4,3093.8,3328.2,,
0.5,1,441.3,264.7,315.8,337.0,46.6621,15.0
0.5,2,370.7,207.0,278.8,300.3,9.5393,15.0
0.5,3,533.7,203.0,318.8,340.1,7.6243,15.0
0.5,4,530.8,187.9,317.5,338.6,5.1345,15.0
0.5,5,683.9,201.8,356.4,377.4,3.5137,15.0
0.5,6,679.0,177.3,353.2,374.2,2.3761,15.0
0.5,7,774.1,205.1,377.6,398.5,1.7475,15.0
0.5,8,769.3,197.2,377.3,398.0,1.2710,15.0
0.5,9,780.7,209.4,380.6,401.2,1.1836,15.0
0.5,10,770.9,196.9,377.1,397.7,0.9384,15.0
0.5,sum,6334.4,2050.4,3453.1,3663.1,,
1.0,1,429.0,264.4,300.3,321.8,46.6656,15.0
1.0,2,540.5,215.2,322.8,345.6,9.6235,15.0
1.0,3,703.3,207.4,365.4,387.9,7.8074,15.0
1.0,4,792.2,200.5,384.6,407.0,5.1637,15.0
1.0,5,782.7,193.8,383.1,405.8,3.4072,15.0
1.0,6,785.1,182.2,386.2,408.4,2.3609,15.0
1.0,7,786.9,207.8,383.7,405.6,1.6613,15.0
1.0,8,783.5,211.1,381.6,403.4,1.2966,15.0
1.0,9,787.1,205.9,383.8,405.5,1.1198,15.0
1.0,10,780.2,176.0,381.4,403.4,0.9852,15.0
1.0,sum,7170.7,2064.2,3672.9,3894.4,,
